ANNO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;CODICE COMUNE;COMUNE;MASCHI;FEMMINE;TOTALE
2019;010;PIEMONTE             ;203;TO3;001002;AIRASCA                                 ;1.820;1.778;3.598
2019;010;PIEMONTE             ;203;TO3;001006;ALMESE                                  ;3.152;3.274;6.426
2019;010;PIEMONTE             ;203;TO3;001008;ALPIGNANO                               ;8.391;8.554;16.945
2019;010;PIEMONTE             ;203;TO3;001011;ANGROGNA                                ;440;406;846
2019;010;PIEMONTE             ;203;TO3;001013;AVIGLIANA                               ;6.157;6.454;12.611
2019;010;PIEMONTE             ;203;TO3;001022;BARDONECCHIA                            ;1.567;1.581;3.148
2019;010;PIEMONTE             ;203;TO3;001024;BEINASCO                                ;8.578;9.207;17.785
2019;010;PIEMONTE             ;203;TO3;001025;BIBIANA                                 ;1.743;1.727;3.470
2019;010;PIEMONTE             ;203;TO3;001026;BOBBIO PELLICE                          ;262;285;547
2019;010;PIEMONTE             ;203;TO3;001032;BORGONE SUSA                            ;1.098;1.099;2.197
2019;010;PIEMONTE             ;203;TO3;001035;BRICHERASIO                             ;2.255;2.338;4.593
2019;010;PIEMONTE             ;203;TO3;001038;BRUINO                                  ;4.236;4.342;8.578
2019;010;PIEMONTE             ;203;TO3;001040;BRUZOLO                                 ;754;756;1.510
2019;010;PIEMONTE             ;203;TO3;001041;BURIASCO                                ;666;689;1.355
2019;010;PIEMONTE             ;203;TO3;001044;BUSSOLENO                               ;2.793;3.013;5.806
2019;010;PIEMONTE             ;203;TO3;001045;BUTTIGLIERA ALTA                        ;3.104;3.242;6.346
2019;010;PIEMONTE             ;203;TO3;001049;CAMPIGLIONE-FENILE                      ;670;669;1.339
2019;010;PIEMONTE             ;203;TO3;001053;CANTALUPA                               ;1.264;1.324;2.588
2019;010;PIEMONTE             ;203;TO3;001055;CAPRIE                                  ;1.037;1.030;2.067
2019;010;PIEMONTE             ;203;TO3;001062;CASELETTE                               ;1.494;1.528;3.022
2019;010;PIEMONTE             ;203;TO3;001070;CAVOUR                                  ;2.694;2.786;5.480
2019;010;PIEMONTE             ;203;TO3;001071;CERCENASCO                              ;879;908;1.787
2019;010;PIEMONTE             ;203;TO3;001074;CESANA TORINESE                         ;519;432;951
2019;010;PIEMONTE             ;203;TO3;001076;CHIANOCCO                               ;790;805;1.595
2019;010;PIEMONTE             ;203;TO3;001080;CHIOMONTE                               ;434;451;885
2019;010;PIEMONTE             ;203;TO3;001081;CHIUSA DI SAN MICHELE                   ;804;794;1.598
2019;010;PIEMONTE             ;203;TO3;001087;CLAVIERE                                ;103;95;198
2019;010;PIEMONTE             ;203;TO3;001089;COAZZE                                  ;1.586;1.541;3.127
2019;010;PIEMONTE             ;203;TO3;001090;COLLEGNO                                ;23.739;25.800;49.539
2019;010;PIEMONTE             ;203;TO3;001093;CONDOVE                                 ;2.194;2.295;4.489
2019;010;PIEMONTE             ;203;TO3;001097;CUMIANA                                 ;3.934;3.955;7.889
2019;010;PIEMONTE             ;203;TO3;001099;DRUENTO                                 ;4.363;4.546;8.909
2019;010;PIEMONTE             ;203;TO3;001100;EXILLES                                 ;125;114;239
2019;010;PIEMONTE             ;203;TO3;001103;FENESTRELLE                             ;256;250;506
2019;010;PIEMONTE             ;203;TO3;001110;FROSSASCO                               ;1.404;1.475;2.879
2019;010;PIEMONTE             ;203;TO3;001111;GARZIGLIANA                             ;276;272;548
2019;010;PIEMONTE             ;203;TO3;001114;GIAGLIONE                               ;291;318;609
2019;010;PIEMONTE             ;203;TO3;001115;GIAVENO                                 ;7.936;8.321;16.257
2019;010;PIEMONTE             ;203;TO3;001116;GIVOLETTO                               ;1.997;1.962;3.959
2019;010;PIEMONTE             ;203;TO3;001117;GRAVERE                                 ;345;328;673
2019;010;PIEMONTE             ;203;TO3;001120;GRUGLIASCO                              ;17.730;19.198;36.928
2019;010;PIEMONTE             ;203;TO3;001122;INVERSO PINASCA                         ;353;347;700
2019;010;PIEMONTE             ;203;TO3;001126;LA CASSA                                ;901;882;1.783
2019;010;PIEMONTE             ;203;TO3;001139;LUSERNA SAN GIOVANNI                    ;3.492;3.770;7.262
2019;010;PIEMONTE             ;203;TO3;001140;LUSERNETTA                              ;255;254;509
2019;010;PIEMONTE             ;203;TO3;001142;MACELLO                                 ;580;581;1.161
2019;010;PIEMONTE             ;203;TO3;001145;MASSELLO                                ;28;25;53
2019;010;PIEMONTE             ;203;TO3;001147;MATTIE                                  ;326;339;665
2019;010;PIEMONTE             ;203;TO3;001149;MEANA DI SUSA                           ;428;396;824
2019;010;PIEMONTE             ;203;TO3;001154;MOMPANTERO                              ;303;342;645
2019;010;PIEMONTE             ;203;TO3;001157;MONCENISIO                              ;16;16;32
2019;010;PIEMONTE             ;203;TO3;001169;NOVALESA                                ;266;262;528
2019;010;PIEMONTE             ;203;TO3;001171;ORBASSANO                               ;11.271;12.013;23.284
2019;010;PIEMONTE             ;203;TO3;001173;OSASCO                                  ;576;591;1.167
2019;010;PIEMONTE             ;203;TO3;001175;OULX                                    ;1.701;1.618;3.319
2019;010;PIEMONTE             ;203;TO3;001184;PEROSA ARGENTINA                        ;1.520;1.656;3.176
2019;010;PIEMONTE             ;203;TO3;001186;PERRERO                                 ;336;290;626
2019;010;PIEMONTE             ;203;TO3;001189;PIANEZZA                                ;7.558;7.890;15.448
2019;010;PIEMONTE             ;203;TO3;001190;PINASCA                                 ;1.388;1.506;2.894
2019;010;PIEMONTE             ;203;TO3;001191;PINEROLO                                ;16.979;18.716;35.695
2019;010;PIEMONTE             ;203;TO3;001194;PIOSSASCO                               ;8.881;9.286;18.167
2019;010;PIEMONTE             ;203;TO3;001195;PISCINA                                 ;1.649;1.715;3.364
2019;010;PIEMONTE             ;203;TO3;001198;POMARETTO                               ;474;519;993
2019;010;PIEMONTE             ;203;TO3;001200;PORTE                                   ;535;517;1.052
2019;010;PIEMONTE             ;203;TO3;001201;PRAGELATO                               ;402;349;751
2019;010;PIEMONTE             ;203;TO3;001202;PRALI                                   ;134;118;252
2019;010;PIEMONTE             ;203;TO3;001204;PRAMOLLO                                ;115;104;219
2019;010;PIEMONTE             ;203;TO3;001205;PRAROSTINO                              ;634;631;1.265
2019;010;PIEMONTE             ;203;TO3;001211;REANO                                   ;851;899;1.750
2019;010;PIEMONTE             ;203;TO3;001214;RIVALTA DI TORINO                       ;9.875;10.103;19.978
2019;010;PIEMONTE             ;203;TO3;001219;RIVOLI                                  ;22.801;24.796;47.597
2019;010;PIEMONTE             ;203;TO3;001222;ROLETTO                                 ;1.010;1.000;2.010
2019;010;PIEMONTE             ;203;TO3;001226;RORA'                                   ;124;107;231
2019;010;PIEMONTE             ;203;TO3;001227;ROURE                                   ;384;409;793
2019;010;PIEMONTE             ;203;TO3;001228;ROSTA                                   ;2.388;2.537;4.925
2019;010;PIEMONTE             ;203;TO3;001229;RUBIANA                                 ;1.176;1.192;2.368
2019;010;PIEMONTE             ;203;TO3;001232;SALBERTRAND                             ;322;303;625
2019;010;PIEMONTE             ;203;TO3;001234;SALZA DI PINEROLO                       ;48;27;75
2019;010;PIEMONTE             ;203;TO3;001239;SAN DIDERO                              ;266;262;528
2019;010;PIEMONTE             ;203;TO3;001241;SANGANO                                 ;1.780;1.966;3.746
2019;010;PIEMONTE             ;203;TO3;001242;SAN GERMANO CHISONE                     ;880;870;1.750
2019;010;PIEMONTE             ;203;TO3;001243;SAN GILLIO                              ;1.504;1.597;3.101
2019;010;PIEMONTE             ;203;TO3;001245;SAN GIORIO DI SUSA                      ;472;506;978
2019;010;PIEMONTE             ;203;TO3;001250;SAN PIETRO VAL LEMINA                   ;700;723;1.423
2019;010;PIEMONTE             ;203;TO3;001254;SAN SECONDO DI PINEROLO                 ;1.822;1.855;3.677
2019;010;PIEMONTE             ;203;TO3;001255;SANT'AMBROGIO DI TORINO                 ;2.347;2.337;4.684
2019;010;PIEMONTE             ;203;TO3;001256;SANT'ANTONINO DI SUSA                   ;1.983;2.186;4.169
2019;010;PIEMONTE             ;203;TO3;001258;SAUZE DI CESANA                         ;133;108;241
2019;010;PIEMONTE             ;203;TO3;001259;SAUZE D'OULX                            ;563;519;1.082
2019;010;PIEMONTE             ;203;TO3;001260;SCALENGHE                               ;1.647;1.616;3.263
2019;010;PIEMONTE             ;203;TO3;001263;SESTRIERE                               ;483;438;921
2019;010;PIEMONTE             ;203;TO3;001270;SUSA                                    ;2.936;3.238;6.174
2019;010;PIEMONTE             ;203;TO3;001275;TORRE PELLICE                           ;2.163;2.334;4.497
2019;010;PIEMONTE             ;203;TO3;001276;TRANA                                   ;1.884;1.925;3.809
2019;010;PIEMONTE             ;203;TO3;001281;USSEAUX                                 ;92;97;189
2019;010;PIEMONTE             ;203;TO3;001283;VAIE                                    ;710;704;1.414
2019;010;PIEMONTE             ;203;TO3;001284;VAL DELLA TORRE                         ;2.012;1.952;3.964
2019;010;PIEMONTE             ;203;TO3;001285;VALGIOIE                                ;494;421;915
2019;010;PIEMONTE             ;203;TO3;001291;VENAUS                                  ;438;445;883
2019;010;PIEMONTE             ;203;TO3;001292;VENARIA REALE;16.059;17.075;33.134
2019;010;PIEMONTE             ;203;TO3;001299;VIGONE                                  ;2.544;2.590;5.134
2019;010;PIEMONTE             ;203;TO3;001300;VILLAFRANCA PIEMONTE                    ;2.247;2.346;4.593
2019;010;PIEMONTE             ;203;TO3;001302;VILLARBASSE                             ;1.699;1.801;3.500
2019;010;PIEMONTE             ;203;TO3;001303;VILLAR DORA                             ;1.411;1.421;2.832
2019;010;PIEMONTE             ;203;TO3;001305;VILLAR FOCCHIARDO                       ;962;977;1.939
2019;010;PIEMONTE             ;203;TO3;001306;VILLAR PELLICE                          ;533;528;1.061
2019;010;PIEMONTE             ;203;TO3;001307;VILLAR PEROSA                           ;1.943;2.055;3.998
2019;010;PIEMONTE             ;203;TO3;001310;VIRLE PIEMONTE                          ;580;569;1.149
2019;010;PIEMONTE             ;203;TO3;001315;VOLVERA                                 ;4.229;4.326;8.555
2019;010;PIEMONTE             ;204;TO4;001001;AGLIE'                                  ;1.229;1.392;2.621
2019;010;PIEMONTE             ;204;TO4;001003;ALA DI STURA                            ;230;211;441
2019;010;PIEMONTE             ;204;TO4;001004;ALBIANO D'IVREA                         ;816;828;1.644
2019;010;PIEMONTE             ;204;TO4;001007;ALPETTE                                 ;131;117;248
2019;010;PIEMONTE             ;204;TO4;001010;ANDRATE                                 ;264;228;492
2019;010;PIEMONTE             ;204;TO4;001014;AZEGLIO                                 ;608;636;1.244
2019;010;PIEMONTE             ;204;TO4;001015;BAIRO                                   ;371;426;797
2019;010;PIEMONTE             ;204;TO4;001016;BALANGERO                               ;1.529;1.624;3.153
2019;010;PIEMONTE             ;204;TO4;001017;BALDISSERO CANAVESE                     ;257;274;531
2019;010;PIEMONTE             ;204;TO4;001019;BALME                                   ;62;52;114
2019;010;PIEMONTE             ;204;TO4;001020;BANCHETTE                               ;1.506;1.685;3.191
2019;010;PIEMONTE             ;204;TO4;001021;BARBANIA                                ;782;785;1.567
2019;010;PIEMONTE             ;204;TO4;001023;BARONE CANAVESE                         ;290;288;578
2019;010;PIEMONTE             ;204;TO4;001027;BOLLENGO                                ;1.086;1.045;2.131
2019;010;PIEMONTE             ;204;TO4;001028;BORGARO TORINESE                        ;5.796;6.111;11.907
2019;010;PIEMONTE             ;204;TO4;001029;BORGIALLO                               ;300;288;588
2019;010;PIEMONTE             ;204;TO4;001030;BORGOFRANCO D'IVREA                     ;1.721;1.875;3.596
2019;010;PIEMONTE             ;204;TO4;001031;BORGOMASINO                             ;376;414;790
2019;010;PIEMONTE             ;204;TO4;001033;BOSCONERO                               ;1.546;1.549;3.095
2019;010;PIEMONTE             ;204;TO4;001034;BRANDIZZO                               ;4.260;4.378;8.638
2019;010;PIEMONTE             ;204;TO4;001036;BROSSO                                  ;190;211;401
2019;010;PIEMONTE             ;204;TO4;001037;BROZOLO                                 ;228;212;440
2019;010;PIEMONTE             ;204;TO4;001039;BRUSASCO                                ;744;738;1.482
2019;010;PIEMONTE             ;204;TO4;001042;BUROLO                                  ;538;588;1.126
2019;010;PIEMONTE             ;204;TO4;001043;BUSANO                                  ;833;790;1.623
2019;010;PIEMONTE             ;204;TO4;001046;CAFASSE                                 ;1.657;1.701;3.358
2019;010;PIEMONTE             ;204;TO4;001047;CALUSO                                  ;3.593;3.818;7.411
